y	income	price1	price2	price3	price4	catch1	catch2	catch3	catch4
3	1250	70.1	10.5	45.5	70.1	0.5333	0.0156	0.0058	0.4522
3	2916.7	131.3	19.7	54.7	131.3	0.5333	0.0156	0.0058	0.4522
3	2916.7	28.3	19.7	43.7	28.3	0.1049	0.0023	0.0046	0.0451
3	4583.3	49.1	11.3	35.3	49.1	0.1049	0.0613	0.3087	0.0079
2	2916.7	33.5	7.7	31.7	33.5	0.1049	0.0023	0.0046	0.0451
1	3750	9.5	78.3	107.3	9.5	0.0678	0.0014	0.0029	0.0789
4	2083.3	25.7	5.9	29.9	25.7	0.1049	0.0613	0.3087	0.0079
3	2916.7	144.1	7.7	42.7	144.1	0.5333	0.0361	0.4216	0.0069
4	12500	120	252.6	281.6	120	0.0678	0.0014	0.0029	0.0789
2	1250	25.6	80.6	105.6	25.6	0.2537	0.0531	0.0052	0.1498
3	2083.3	115.8	25	60	115.8	0.5333	0.0156	0.0058	0.4522
4	2916.7	32.6	68.6	97.6	32.6	0.0678	0.1643	0.5391	0.0789
2	2916.7	10.3	46.3	75.3	10.3	0.0678	0.1643	0.5391	0.0789
3	2916.7	10.3	54.9	89.9	10.3	0.0678	0.0897	1.0905	0.0789
2	4583.3	231.5	15.1	50.1	231.5	0.5333	0.2413	1.0266	0.4522
3	3750	59.2	186.2	211.2	59.2	0.2537	0.7369	2.3101	0.1498
3	4583.3	231.5	15.1	50.1	231.5	0.5333	0.2413	1.0266	0.4522
4	6250	19.9	89.5	118.5	19.9	0.0678	0.0014	0.0029	0.0789
3	7083.3	341.9	22.3	57.3	341.9	0.5333	0.2413	1.0266	0.4522
3	1250	80.6	17.4	52.4	80.6	0.5333	0.2413	1.0266	0.4522
1	3750	24.3	89.9	118.9	24.3	0.0678	0.1643	0.5391	0.0789
1	4583.3	11.3	93.1	122.1	11.3	0.0678	0.1643	0.5391	0.0789
3	3750	177.7	9.5	44.5	177.7	0.5333	0.0156	0.0058	0.4522
4	2083.3	5.9	48.7	77.7	5.9	0.0678	0.1643	0.5391	0.0789
2	3750	177.7	9.5	44.5	177.7	0.5333	0.2413	1.0266	0.4522
2	1250	70.1	10.5	45.5	70.1	0.5333	0.0361	0.4216	0.0069
3	4583.3	41.5	28.9	52.9	41.5	0.1049	0.0613	0.3087	0.0079
3	2083.3	21.7	15.1	39.1	21.7	0.1049	0.0023	0.0046	0.0451
3	2916.7	144.1	7.7	42.7	144.1	0.5333	0.0156	0.0058	0.4522
2	2083.3	25.7	5.9	29.9	25.7	0.1049	0.0613	0.3087	0.0079
2	5416.7	244.9	13.1	48.1	244.9	0.5333	0.0156	0.0058	0.4522
3	2916.7	144.1	7.7	42.7	144.1	0.5333	0.2413	1.0266	0.4522
4	2083.3	5.9	48.7	77.7	5.9	0.0678	0.0014	0.0029	0.0789
4	4583.3	93.1	93.1	118.1	93.1	0.0678	0.2601	0.5391	0.0503
3	3750	177.7	9.5	44.5	177.7	0.5333	0.0361	0.4216	0.0069
2	3750	41.3	9.5	33.5	41.3	0.1049	0.1574	0.4671	0.0451
4	3750	9.5	78.3	107.3	9.5	0.0678	0.1643	0.5391	0.0789
3	1250	76.9	4.1	39.1	76.9	0.5333	0.2413	1.0266	0.4522
2	3750	177.7	9.5	44.5	177.7	0.5333	0.2413	1.0266	0.4522
3	3750	177.7	9.5	44.5	177.7	0.5333	0.1665	0.3975	0.4522
2	5416.7	244.9	13.1	48.1	244.9	0.5333	0.2413	1.0266	0.4522
4	2916.7	33.5	7.7	31.7	33.5	0.1049	0.1574	0.4671	0.0451
2	2916.7	33.5	7.7	31.7	33.5	0.1049	0.0023	0.0046	0.0451
3	2083.3	5.9	25.7	60.7	5.9	0.0678	0.0102	0.0209	0.0789
3	7916.7	345.7	18.5	53.5	345.7	0.5333	0.1665	0.3975	0.4522
2	5416.7	244.9	13.1	48.1	244.9	0.5333	0.0361	0.4216	0.0069
2	6250	64.7	14.9	38.9	64.7	0.1049	0.0023	0.0046	0.0451
1	3750	9.5	78.3	107.3	9.5	0.0678	0.1643	0.5391	0.0789
1	7916.7	24.7	111.1	140.1	24.7	0.0678	0.1643	0.5391	0.0789
2	1250	33.9	33.9	58.9	33.9	0.0678	0.2601	0.5391	0.0503
3	2916.7	144.1	7.7	42.7	144.1	0.5333	0.0361	0.4216	0.0069
2	2083.3	110.5	5.9	40.9	110.5	0.5333	0.2413	1.0266	0.4522
3	1250	76.9	4.1	39.1	76.9	0.5333	0.0156	0.0058	0.4522
1	2916.7	7.7	63.5	92.5	7.7	0.0678	0.0014	0.0029	0.0789
2	3750	177.7	9.5	44.5	177.7	0.5333	0.1665	0.3975	0.4522
2	1250	17.9	4.1	28.1	17.9	0.1049	0.1574	0.4671	0.0451
3	2916.7	33.5	33.5	52	33.5	0.2537	0.0626	0.2773	0.0014
2	416.7	8.5	39.5	64.5	8.5	0.2537	0.6817	2.3014	0.1498
3	6250	38.1	54.7	89.7	38.1	0.0678	0.0559	0.6456	0.0789
2	3750	24.3	34.9	69.9	24.3	0.0678	0.0897	1.0905	0.0789
4	2083.3	100.7	15.1	50.1	100.7	0.5333	0.2413	1.0266	0.4522
4	12500	104.2	104.2	122.7	104.2	0.2537	0.2339	0.6288	0.1498
3	3750	161.9	24.3	59.3	161.9	0.5333	0.0156	0.0058	0.4522
3	5416.7	48.1	33.5	57.5	48.1	0.1049	0.1574	0.4671	0.0451
2	6250	64.7	66.3	101.3	64.7	0.0678	0.0102	0.0209	0.0789
3	7083.3	72.5	74.3	109.3	72.5	0.0678	0.0102	0.0209	0.0789
2	11250	423	111.5	146.5	423	0.5333	0.0051	1.0266	0.4522
3	5416.7	56.9	58.3	93.3	56.9	0.0678	0.0102	0.0209	0.0789
2	7083.3	72.5	74.3	109.3	72.5	0.0678	0.0897	1.0905	0.0789
3	6250	210.6	49.7	79.2	210.6	0.0678	0.0732	0.1726	0.0052
4	5416.7	43.7	52.5	71	43.7	0.2537	0.2339	0.6288	0.1498
1	3750	31.7	38.1	56.6	31.7	0.2537	0.2339	0.6288	0.1498
1	2083.3	19.7	23.7	42.2	19.7	0.2537	0.2339	0.6288	0.1498
4	3750	31.7	38.1	56.6	31.7	0.2537	0.2339	0.6288	0.1498
3	2916.7	55.8	25.7	60.7	55.8	0.0678	0.0108	0.2377	0.0025
3	2083.3	42.8	19.7	54.7	42.8	0.0678	0.0559	0.6456	0.0789
3	7916.7	261.4	61.7	91.2	261.4	0.0678	0.0732	0.1726	0.0052
3	8750	268.7	146.8	181.8	268.7	0.5333	0.1665	0.3975	0.4522
3	7083.3	55.7	221.1	246.1	55.7	0.2537	0.6817	2.3014	0.1498
3	4583.3	159.8	37.7	67.2	159.8	0.0678	0.0732	0.1726	0.0052
4	416.7	16.8	32.8	61.8	16.8	0.0678	0.1643	0.5391	0.0789
2	3750	125.9	68.8	103.8	125.9	0.5333	0.2413	1.0266	0.4522
2	5416.7	56.9	58.3	93.3	56.9	0.0678	0.0108	0.2377	0.0025
3	2083.3	25.7	26.3	61.3	25.7	0.0678	0.0108	0.2377	0.0025
3	1250	46.3	18.3	47.8	46.3	0.0678	0.0732	0.1726	0.0052
1	3750	42.3	42.3	60.8	42.3	0.2537	0.0233	0.0219	0.1498
3	6250	64.7	66.3	101.3	64.7	0.0678	0.0559	0.6456	0.0789
3	3750	42.3	41.3	65.3	42.3	0.1049	0.1574	0.4671	0.0451
2	5416.7	58.3	58.3	76.8	58.3	0.2537	0.0233	0.0219	0.1498
3	3750	77.2	73	108	77.2	0.0678	0.0102	0.0209	0.0789
3	2916.7	150.2	62.6	97.6	150.2	0.5333	0.2413	1.0266	0.4522
3	7083.3	135.6	267.6	296.6	135.6	0.0678	0.1643	0.0041	0.0789
1	3750	73	73	91.5	73	0.2537	0.2339	0.6288	0.1498
2	12500	205.3	94.7	129.7	205.3	0.0678	0.0897	1.0905	0.0789
3	2916.7	55.8	25.7	60.7	55.8	0.0678	0.0897	1.0905	0.0789
1	7916.7	61.7	74.1	92.6	61.7	0.2537	0.2339	0.6288	0.1498
2	7083.3	120.8	55.7	90.7	120.8	0.0678	0.0102	0.0209	0.0789
3	8750	146.8	67.7	102.7	146.8	0.0678	0.0102	0.0209	0.0789
4	7083.3	55.7	66.9	85.4	55.7	0.2537	0.2339	0.6288	0.1498
3	3750	134.4	31.7	61.2	134.4	0.0678	0.0732	0.1726	0.0052
4	6250	49.7	59.7	78.2	49.7	0.2537	0.2339	0.6288	0.1498
2	12500	205.3	94.7	129.7	205.3	0.0678	0.0102	0.0209	0.0789
2	12500	205.3	94.7	129.7	205.3	0.0678	0.0108	0.2377	0.0025
3	6250	107.8	49.7	84.7	107.8	0.0678	0.0559	0.6456	0.0789
2	7916.7	261.4	61.7	91.2	261.4	0.0678	0.0732	0.1726	0.0052
2	2916.7	109	25.7	55.2	109	0.0678	0.0143	0.0289	0.0503
2	8750	286.8	67.7	97.2	286.8	0.0678	0.0143	0.0289	0.0503
2	12500	375.8	205.3	240.3	375.8	0.5333	0.0156	0.0058	0.4522
3	3750	68.8	31.7	66.7	68.8	0.0678	0.0108	0.2377	0.0025
3	3750	68.8	31.7	66.7	68.8	0.0678	0.0559	0.6456	0.0789
3	1250	67.8	17.9	52.9	67.8	0.5333	0.0361	0.4216	0.0069
3	4583.3	186.2	49.1	84.1	186.2	0.5333	0.2413	1.0266	0.4522
2	6250	66.3	66.3	84.8	66.3	0.2537	0.2339	0.6288	0.1498
3	416.7	38.2	10.1	45.1	38.2	0.5333	0.1665	0.3975	0.4522
2	7083.3	72.5	74.3	109.3	72.5	0.0678	0.0897	1.0905	0.0789
3	4583.3	49.1	50.3	85.3	49.1	0.0678	0.0108	0.2377	0.0025
2	6250	333.3	94.5	129.5	333.3	0.5333	0.2413	1.0266	0.4522
3	3750	85.7	60.3	84.3	85.7	0.1049	0.0023	0.0046	0.0451
3	7916.7	166.7	166.7	185.2	166.7	0.2537	0.0626	0.2773	0.0014
3	4583.3	252.9	71.7	106.7	252.9	0.5333	0.0156	0.0058	0.4522
2	8750	128.7	182.9	217.9	128.7	0.0678	0.0897	1.0905	0.0789
3	3750	212.7	60.3	95.3	212.7	0.5333	0.0156	0.0058	0.4522
3	3750	212.7	60.3	95.3	212.7	0.5333	0.0156	0.0058	0.4522
3	1250	92.1	26.1	61.1	92.1	0.5333	0.0156	0.0058	0.4522
2	7083.3	139.4	63.2	87.2	139.4	0.1049	0.0613	0.3087	0.0079
2	5416.7	109.4	49.6	73.6	109.4	0.1049	0.0613	0.3087	0.0079
2	6250	323.3	56.4	91.4	323.3	0.5333	0.2413	1.0266	0.4522
2	2916.7	71.2	71.2	96.2	71.2	0.0678	0.0276	0.0029	0.0503
2	4583.3	94.4	42.8	66.8	94.4	0.1049	0.1574	0.4671	0.0451
3	5416.7	109.4	49.6	73.6	109.4	0.1049	0.0023	0.0046	0.0451
4	5416.7	49.6	121	150	49.6	0.0678	0.1643	0.5391	0.0789
3	3750	206.3	36	71	206.3	0.5333	0.2413	1.0266	0.4522
3	4583.3	245.3	42.8	77.8	245.3	0.5333	0.0051	1.0266	0.4522
3	3750	206.3	36	71	206.3	0.5333	0.2413	1.0266	0.4522
3	2916.7	64.4	167.3	192.3	64.4	0.2537	0.6817	2.3014	0.1498
1	4583.3	42.8	104.4	133.4	42.8	0.0678	0.1643	0.5391	0.0789
3	6250	323.3	56.4	91.4	323.3	0.5333	0.0361	0.4216	0.0069
1	1250	15.6	38	67	15.6	0.0678	0.1643	0.5391	0.0789
2	2916.7	71.2	71.2	96.2	71.2	0.0678	0.2601	0.5391	0.0503
2	4583.3	104.4	94.4	123.9	104.4	0.0678	0.0143	0.0289	0.0503
1	6250	124.4	124.4	142.9	124.4	0.2537	0.2339	0.6288	0.1498
3	4583.3	104.4	104.4	129.4	104.4	0.0678	0.2601	0.5391	0.0503
2	6250	175.7	175.7	194.2	175.7	0.2537	0.0233	0.0219	0.1498
2	5416.7	335.3	72.9	107.9	335.3	0.5333	0.0361	0.4216	0.0069
3	3750	243.3	52.9	87.9	243.3	0.5333	0.0156	0.0058	0.4522
1	2083.3	22.4	54.6	83.6	22.4	0.0678	0.1643	0.5391	0.0789
3	3750	206.3	36	71	206.3	0.5333	0.0361	0.4216	0.0069
3	2916.7	29.2	64.4	99.4	29.2	0.0678	0.0897	1.0905	0.0789
2	6250	323.3	56.4	91.4	323.3	0.5333	0.0051	1.0266	0.4522
3	3750	36	79.4	114.4	36	0.0678	0.0559	0.6456	0.0789
2	7083.3	362.3	63.2	98.2	362.3	0.5333	0.2413	1.0266	0.4522
3	2916.7	71.2	64.4	93.9	71.2	0.0678	0.1082	0.324	0.0503
1	5416.7	49.6	121	150	49.6	0.0678	0.1643	0.5391	0.0789
3	2916.7	151	32.6	67.6	151	0.5333	0.2413	1.0266	0.4522
3	3750	186.2	40.2	75.2	186.2	0.5333	0.2413	1.0266	0.4522
2	1250	92.1	26.1	61.1	92.1	0.5333	0.0361	0.4216	0.0069
2	2083.3	37.5	57.9	86.9	37.5	0.0678	0.0014	0.0029	0.0789
3	2083.3	132.3	37.5	72.5	132.3	0.5333	0.2413	1.0266	0.4522
3	4583.3	252.9	71.7	106.7	252.9	0.5333	0.0361	0.4216	0.0069
2	4583.3	252.9	71.7	106.7	252.9	0.5333	0.0361	0.4216	0.0069
1	3750	34.9	34.9	53.4	34.9	0.2537	0.2339	0.6288	0.1498
3	6250	63	92.8	127.8	63	0.0678	0.0102	0.0209	0.0789
3	9583.3	137.6	93.4	117.4	137.6	0.1049	0.0613	0.3087	0.0079
3	4583.3	221.4	47.8	82.8	221.4	0.5333	0.0051	1.0266	0.4522
2	3750	206.3	36	71	206.3	0.5333	0.1665	0.3975	0.4522
4	2083.3	21.7	21.7	40.2	21.7	0.2537	0.2339	0.6288	0.1498
3	1250	10.5	15.1	50.1	10.5	0.0678	0.0102	0.0209	0.0789
3	3750	206.3	36	71	206.3	0.5333	0.2413	1.0266	0.4522
3	4583.3	252.9	71.7	106.7	252.9	0.5333	0.1665	0.3975	0.4522
4	2916.7	75.5	75.5	100.5	75.5	0.0678	0.2601	0.5391	0.0503
3	1250	26.1	37.1	72.1	26.1	0.0678	0.0108	0.2377	0.0025
3	416.7	22.7	20.9	50.4	22.7	0.0678	0.0016	0.1176	0.0503
2	4583.3	71.7	101.9	136.9	71.7	0.0678	0.0559	0.6456	0.0789
1	7916.7	117.3	181.1	210.1	117.3	0.0678	0.1643	0.5391	0.0789
3	8750	453.9	128.7	163.7	453.9	0.5333	0.0361	0.4216	0.0069
4	1250	26.1	40.3	69.3	26.1	0.0678	0.0499	0.2421	0.0025
3	2083.3	132.3	37.5	72.5	132.3	0.5333	0.2413	1.0266	0.4522
2	2916.7	69.5	69.5	88	69.5	0.2537	0.2339	0.6288	0.1498
2	2916.7	69.5	48.9	72.9	69.5	0.1049	0.0023	0.0046	0.0451
2	4583.3	70.4	47.8	71.8	70.4	0.1049	0.1574	0.4671	0.0451
3	5416.7	116.6	116.6	141.6	116.6	0.0678	0.0276	0.0029	0.0503
4	4583.3	47.8	100.6	129.6	47.8	0.0678	0.0014	0.0029	0.0789
3	1250	80.6	17.4	52.4	80.6	0.5333	0.2413	1.0266	0.4522
3	7916.7	115.2	362.2	387.2	115.2	0.2537	0.6817	2.3014	0.1498
3	6250	291.8	63	98	291.8	0.5333	0.0156	0.0058	0.4522
4	2916.7	32.6	68.6	97.6	32.6	0.0678	0.1643	0.5391	0.0789
3	1250	36.6	36.6	61.6	36.6	0.0678	0.1491	0.2421	0.0052
3	416.7	39.5	5.9	40.9	39.5	0.5333	0.2413	1.0266	0.4522
1	12500	120	252.6	281.6	120	0.0678	0.1643	0.5391	0.0789
3	2083.3	100.7	15.1	50.1	100.7	0.5333	0.0156	0.0058	0.4522
3	5416.7	223.1	33.5	68.5	223.1	0.5333	0.0156	0.0058	0.4522
3	3750	161.9	24.3	59.3	161.9	0.5333	0.0156	0.0058	0.4522
3	8750	453.9	128.7	163.7	453.9	0.5333	0.2413	1.0266	0.4522
3	4583.3	252.9	71.7	106.7	252.9	0.5333	0.0156	0.0058	0.4522
2	12500	255.8	180	204	255.8	0.1049	0.1574	0.4671	0.0451
3	4583.3	71.7	110.7	139.7	71.7	0.0678	0.0971	0.1648	0.0789
2	1250	92.1	26.1	61.1	92.1	0.5333	0.2413	1.0266	0.4522
3	5416.7	81.6	55.4	79.4	81.6	0.1049	0.1574	0.4671	0.0451
4	4583.3	47.8	100.6	129.6	47.8	0.0678	0.0014	0.0029	0.0789
3	4583.3	221.4	47.8	82.8	221.4	0.5333	0.0361	0.4216	0.0069
3	1250	10.5	15.1	50.1	10.5	0.0678	0.0102	0.0209	0.0789
4	2083.3	5.9	5.9	30.9	5.9	0.0678	0.2601	0.5391	0.0503
4	4583.3	11.3	11.3	36.3	11.3	0.0678	0.0276	0.0029	0.0503
4	4583.3	6.3	6.3	35.3	6.3	0.0678	0.1643	0.5391	0.0789
2	3750	18	18	47	18	0.0678	0.0014	0.0029	0.0789
3	3750	18	18	43	18	0.0678	0.023	0.1648	0.0503
3	3750	18	18	47	18	0.0678	0.1643	0.5391	0.0789
2	10416.7	45.2	45.2	70.2	45.2	0.0678	0.2601	0.5391	0.0503
1	4583.3	21.4	21.4	46.4	21.4	0.0678	0.1491	0.2421	0.0052
1	3750	9.5	9.5	34.5	9.5	0.0678	0.2601	0.5391	0.0503
2	3750	316.3	51.8	86.8	316.3	0.5333	0.2413	1.0266	0.4522
2	2083.3	32.2	5.9	34.9	32.2	0.0678	0.0014	0.0029	0.0789
4	3750	9.5	9.5	34.5	9.5	0.0678	0.0276	0.0029	0.0503
2	4583.3	11.3	11.3	36.3	11.3	0.0678	0.0276	0.0029	0.0503
1	3750	9.5	9.5	34.5	9.5	0.0678	0.0276	0.0029	0.0503
1	5416.7	71.4	13.1	42.1	71.4	0.0678	0.1643	0.5391	0.0789
2	5416.7	14.6	14.6	39.6	14.6	0.0678	0.2601	0.5391	0.0503
3	2916.7	8.6	8.6	33.6	8.6	0.0678	0.1491	0.2421	0.0052
3	4583.3	56.6	12.6	41.6	56.6	0.0678	0.0499	0.2421	0.0025
3	7083.3	18.6	18.6	43.6	18.6	0.0678	0.2601	0.5391	0.0503
4	2916.7	8.6	8.6	33.6	8.6	0.0678	0.2601	0.5391	0.0503
2	8750	359	666.1	691.1	359	0.2537	0.0531	0.0052	0.1498
3	2083.3	29.6	6.6	35.6	29.6	0.0678	0.0499	0.2421	0.0025
2	1250	135.1	20.6	55.6	135.1	0.5333	0.2413	1.0266	0.4522
3	1250	4.6	4.6	29.6	4.6	0.0678	0.023	0.1648	0.0503
2	2083.3	6.6	6.6	31.6	6.6	0.0678	0.0031	0.0041	0.0503
2	7083.3	31.6	31.6	56.6	31.6	0.0678	0.1491	0.2421	0.0052
3	5416.7	24.8	24.8	49.8	24.8	0.0678	0.1491	0.2421	0.0052
4	2083.3	13.8	13.8	42.8	13.8	0.0678	0.0499	0.2421	0.0025
3	5416.7	30.6	30.6	59.6	30.6	0.0678	0.1643	0.5391	0.0789
2	2916.7	214.5	4.3	39.3	214.5	0.5333	0.0051	1.0266	0.4522
2	3750	264.5	5.3	40.3	264.5	0.5333	0.0156	0.0058	0.4522
3	2916.7	4.3	4.3	33.3	4.3	0.0678	0.0971	0.1648	0.0789
1	1250	4.1	4.1	29.1	4.1	0.0678	0.2601	0.5391	0.0503
4	2083.3	5.9	5.9	30.9	5.9	0.0678	0.0276	0.0029	0.0503
1	5416.7	71.4	13.1	42.1	71.4	0.0678	0.0499	0.2421	0.0025
2	2083.3	5.9	5.9	30.9	5.9	0.0678	0.0276	0.0029	0.0503
4	3750	15.9	15.9	40.9	15.9	0.0678	0.0276	0.0029	0.0503
2	416.7	6.5	3.9	32.9	6.5	0.0678	0.0014	0.0029	0.0789
2	4583.3	12.6	12.6	37.6	12.6	0.0678	0.0276	0.0029	0.0503
2	2083.3	6.6	6.6	31.6	6.6	0.0678	0.1491	0.2421	0.0052
4	2083.3	6.6	6.6	31.6	6.6	0.0678	0.2601	0.5391	0.0503
3	2916.7	7.7	7.7	32.7	7.7	0.0678	0.0276	0.0029	0.0503
2	2083.3	164.5	3.3	38.3	164.5	0.5333	0.1665	0.3975	0.4522
3	3750	5.3	5.3	30.3	5.3	0.0678	0.0276	0.0029	0.0503
2	2083.3	3.3	3.3	32.3	3.3	0.0678	0.0014	0.0029	0.0789
3	3750	5.3	5.3	34.3	5.3	0.0678	0.0971	0.1648	0.0789
4	1250	2.3	2.3	31.3	2.3	0.0678	0.0971	0.1648	0.0789
2	3750	264.5	5.3	40.3	264.5	0.5333	0.0051	1.0266	0.4522
3	5416.7	7.3	7.3	36.3	7.3	0.0678	0.0014	0.0029	0.0789
1	10416.7	13.3	13.3	42.3	13.3	0.0678	0.1643	0.0041	0.0789
3	2916.7	214.5	4.3	39.3	214.5	0.5333	0.2413	1.0266	0.4522
3	2916.7	4.3	4.3	29.3	4.3	0.0678	0.023	0.1648	0.0503
3	5416.7	166.2	7.3	31.3	166.2	0.1049	0.0613	0.3087	0.0079
3	4583.3	6.3	6.3	35.3	6.3	0.0678	0.0971	0.1648	0.0789
2	6250	189	8.3	32.3	189	0.1049	0.0613	0.3087	0.0079
3	2083.3	164.5	3.3	38.3	164.5	0.5333	0.0361	0.4216	0.0069
3	2916.7	4.3	4.3	33.3	4.3	0.0678	0.0499	0.2421	0.0025
3	1250	114.5	2.3	37.3	114.5	0.5333	0.2413	1.0266	0.4522
4	1250	2.3	2.3	31.3	2.3	0.0678	0.1643	0.5391	0.0789
4	2083.3	75	75	93.5	75	0.2537	0.0233	0.0219	0.1498
4	2916.7	4.3	4.3	33.3	4.3	0.0678	0.1643	0.5391	0.0789
2	2916.7	214.5	4.3	39.3	214.5	0.5333	0.0051	1.0266	0.4522
2	2083.3	75	3.3	27.3	75	0.1049	0.1574	0.4671	0.0451
3	1250	11.5	6.9	35.9	11.5	0.0678	0.0971	0.1648	0.0789
3	4583.3	31.5	18.9	47.9	31.5	0.0678	0.1643	0.5391	0.0789
3	8750	33.9	33.9	58.9	33.9	0.0678	0.2601	0.5391	0.0503
2	12500	843.2	53.7	88.7	843.2	0.5333	0.2413	1.0266	0.4522
3	5416.7	364.5	7.3	42.3	364.5	0.5333	0.0051	1.0266	0.4522
3	4583.3	314.5	6.3	41.3	314.5	0.5333	0.2413	1.0266	0.4522
3	3750	5.3	5.3	30.3	5.3	0.0678	0.023	0.1648	0.0503
2	3750	264.5	5.3	40.3	264.5	0.5333	0.2413	1.0266	0.4522
3	5416.7	7.3	7.3	36.3	7.3	0.0678	0.0971	0.1648	0.0789
2	2916.7	97.8	4.3	28.3	97.8	0.1049	0.0023	0.0046	0.0451
4	2083.3	3.3	3.3	28.3	3.3	0.0678	0.0276	0.0029	0.0503
1	6250	8.3	8.3	33.3	8.3	0.0678	0.2601	0.5391	0.0503
3	3750	10.6	10.6	35.6	10.6	0.0678	0.0276	0.0029	0.0503
1	2083.3	11.2	11.2	36.2	11.2	0.0678	0.2601	0.5391	0.0503
1	8750	38.4	38.4	63.4	38.4	0.0678	0.2601	0.5391	0.0503
2	2916.7	8.6	8.6	33.6	8.6	0.0678	0.0276	0.0029	0.0503
3	2916.7	38.6	8.6	37.6	38.6	0.0678	0.0499	0.2421	0.0025
3	2916.7	4.3	4.3	29.3	4.3	0.0678	0.2601	0.5391	0.0503
2	2916.7	4.3	4.3	29.3	4.3	0.0678	0.0276	0.0029	0.0503
3	2083.3	75	3.3	27.3	75	0.1049	0.0023	0.0046	0.0451
2	2916.7	214.5	4.3	39.3	214.5	0.5333	0.0051	1.0266	0.4522
2	3750	5.3	5.3	30.3	5.3	0.0678	0.0276	0.0029	0.0503
3	4583.3	143.4	6.3	30.3	143.4	0.1049	0.1574	0.4671	0.0451
3	2916.7	4.3	4.3	29.3	4.3	0.0678	0.1491	0.2421	0.0052
3	4583.3	6.3	6.3	35.3	6.3	0.0678	0.1643	0.5391	0.0789
2	4583.3	6.3	6.3	31.3	6.3	0.0678	0.2601	0.5391	0.0503
3	2916.7	4.3	4.3	29.3	4.3	0.0678	0.0276	0.0029	0.0503
4	2083.3	3.3	3.3	28.3	3.3	0.0678	0.1491	0.2421	0.0052
3	2083.3	26.3	3.3	32.3	26.3	0.0678	0.1643	0.0041	0.0789
4	2916.7	4.3	4.3	29.3	4.3	0.0678	0.2601	0.5391	0.0503
4	1250	2.3	2.3	27.3	2.3	0.0678	0.2601	0.5391	0.0503
4	1250	2.3	2.3	27.3	2.3	0.0678	0.2601	0.5391	0.0503
1	2916.7	4.3	4.3	29.3	4.3	0.0678	0.2601	0.5391	0.0503
2	6250	8.3	8.3	33.3	8.3	0.0678	0.2601	0.5391	0.0503
2	5416.7	7.3	7.3	32.3	7.3	0.0678	0.2601	0.5391	0.0503
4	10416.7	13.3	13.3	38.3	13.3	0.0678	0.2601	0.5391	0.0503
2	2083.3	3.3	3.3	28.3	3.3	0.0678	0.023	0.1648	0.0503
2	4583.3	6.3	6.3	31.3	6.3	0.0678	0.1491	0.2421	0.0052
3	2083.3	26.3	3.3	32.3	26.3	0.0678	0.0971	0.1648	0.0789
2	2916.7	4.3	4.3	29.3	4.3	0.0678	0.0276	0.0029	0.0503
2	4583.3	6.3	6.3	31.3	6.3	0.0678	0.0276	0.0029	0.0503
